Unnamed: 0.1,Unnamed: 0,country,policy,measures,start_year,status,budget_commitment,title_norm,matched_title,match_score,description,iso3
467,467,Romania,Government spending for the expansion and modernisation of the electricity grid,Transmission,2022,In force,505,government spending for the expansion and modernisation of the electricity grid,Government spending for the expansion and modernisation of the electricity grid,100,<div>The Romanian Ministry of Energy signed first nine financing contracts with the national transmission system operator Transelectrica in the total amount of EUR 424 million. The funding is provided as direct non-refundable grants for the expansion and modernisation of the electricity grid. </div>,ROU
468,468,United Kingdom,UK Budget 2020 - Heat Networks Investment Project,MultipleShow budget lines,2021,In force,502,uk budget 2020 heat networks investment project,UK Budget 2020 - Heat Networks Investment Project,100,"<div>The government added GBP 96 million to the budget for the last year of the scheme, which ends in March 2022. </div><div> </div><div>A further GBP 270 million will be invested in a new Green Heat Networks Scheme. It will enable new and existing heat networks to switch to low carbon sources and connect to waste heat that would otherwise be released into the atmosphere.</div><div> </div><div> </div>",GBR
469,469,United States,Inflation Reduction Act 2022: Sec. 22003 Biofuel Infrastructure and Agriculture Product Market ExpansionPart ofInflation Reduction Act of 2022,Biofuels,2022,In force,500,inflation reduction act 2022 sec 22003 biofuel infrastructure and agriculture product market expansionpart ofinflation reduction act of 2022,Inflation Reduction Act of 2022,100,"<div>In August 2022, the U.S. Congress approved the Inflation Reduction Act (IRA) of 2022, combining the objectives of reducing domestic inflation - notably brought by the global energy crisis - while simultaneously tackling climate change.  A key stated goal of the Act is to reduce carbon emissions by around 40 percent by 2030.<br><br>The IRA includes a combination of grants, loans, tax provisions and other incentives to accelerate the deployment of clean energy, clean vehicles, clean buildings and clean manufacturing. This includes investments in deploying clean energy, expanding the electricity grid, developing domestic clean technology manufacturing, incentivising uptake of electric vehicles, reducing methane emissions, increasing the efficiency of buildings, improving the climate resilience of communities, and other areas.  In total, around 370 billion USD will be disbursed for measures dedicated to improving energy security and accelerating clean energy transitions.  The specific programs fall under multiple provisions covered by separate entries in the database.<br><br>As of July 2025, significant portions of the IRA were amended or terminated by the One Big Beautiful Bill Act (Pub. L. No. 119-21).</div>",USA
470,470,Italy,Common European Project for the implementation on the creation of a European hydrogen value chain (Italian arm),Hydrogen,2024,In force,493,common european project for the implementation on the creation of a european hydrogen value chain italian arm,Common European Project for the implementation on the creation of a European hydrogen value chain (Italian arm),100,"<div>The IPECI H2 Technology refers to the creation of a European clean hydrogen value chain authorising state aid towards the clean hydrogen production in fifteen EU countries, among which Italy. The authorisation foresees aid to:<br>- The production of hydrogen through the development of new generation technologies<br>- The production of fuel cells<br>- The creation of new storage, transport, and distribution infrastructure<br>- The development of new appliances for end users, in particular rail and naval transport.<br><br>Italy has devoted EUR 455 million to six enterprises and two research institutions. This amount is the result of a recent expansion of the budget promulgated on May 8, 2024. </div>",ITA
471,471,South Africa,2022 General Fuel Levy freeze & reduction,Energy affordability,2022,In force,489,2022 general fuel levy freeze reduction,2022 General Fuel Levy freeze & reduction,100,"<div>In order to cushion domestic consumers and the national economy from the effects of oil price rise, the South African government decided in February 2023 to freeze the general fuel levy on petrol and diesel.<br><br>A month later, this support was enhanced with a temporary reduction in the general fuel levy of ZAR 1.50/ litre, enacted from April until the end of May 2022. <br><br></div>",ZAF
472,472,South Africa,Income tax incentives for renewable energy installations,MultipleShow budget lines,2023,In force,488,income tax incentives for renewable energy installations,Income tax incentives for renewable energy installations,100,"<div>From 2023 to 2025, South African companies benefit from an income tax reduction for their investments in renewable energy installations. Under the incentive, companies will be able to deduct from their taxes 50% of the costs in the first year, 30% in the second and 20% in the third for qualifying investments in wind, concentrated solar, hydropower below 30 megawatts (MW), biomass and photovoltaic (PV) projects above 1 MW. <br><br>In addition, in 2023 and 2024, the South African government is implementing an household-oriented scheme providing an income tax reduction on rooftop solar panels, covering 25% of the cost of the panels, up to a maximum of ZAR 15 000. </div>",ZAF
473,473,Belgium,National Plan for Recovery and Resilience - Component 3.1: Infrastructure for cyclingPart ofNational Plan for Recovery & Resilience,Walkways and bikelanes,2021,In force,486,national plan for recovery and resilience component 31 infrastructure for cyclingpart ofnational plan for recovery resilience,National Plan for Recovery & Resilience,100,"<div>The Belgian National Recovery Plan (Plan National pour la Reprise et la Résilience) includes the following energy-related policies :</div><div> </div><div>- From Axis 1- Climate, sustainability and Innovation:</div><div>    - Component 1.1 - Buildings renovation </div><div>    - Component 1.2 - Emerging energy technologies</div><div> </div><div>- From Axis 3 - Mobility :</div><div>    - Component 3.1 - Infrastructure for walking and cycling </div><div>    - Component 3.2 - Modal shift </div><div>    - Component 3.3 - Greening rail transport</div>",BEL
474,474,Germany,Germany's Special Climate and Transformation Fund - Hydrogen and fuel cell applications in transportPart ofGermany's Special Climate and Transformation Fund,Trucks (efficient/electric/alt fuel)Show budget lines,2021,In force,484,germanys special climate and transformation fund hydrogen and fuel cell applications in transportpart ofgermanys special climate and transformation fund,Germany's Special Climate and Transformation Fund,100,"<div>In 2023, Germany's Federal Cabinet approved the set up of the Special Climate and Transformation Fund ""Klima- und Transformationsfonds (KTF)"" for 2024 - 2027 to support the development and establishment of future technologies and thus Germany's transformation towards a sustainable and climate-neutral economy. The Fund scope and activities were revised after a ruling by the Federal Constitutional Court in December 2023.<br><br></div>",DEU
475,475,Portugal,Liquidity support for manufacturing companiesPart ofNew measures to contain the rise in energy and agri-food prices,Energy affordability,2022,In force,476,liquidity support for manufacturing companiespart ofnew measures to contain the rise in energy and agrifood prices,New measures to contain the rise in energy and agri-food prices,96.66666667,"<div>In April 2022, the Portuguese government enacted new measures to contain energy and food prices: <br><br></div><ol><li>Temporary reduction of the Tax on Petroleum Products (ISP) equivalent to the reduction of VAT from 23% to 13%.</li><li>Suspension of the increase in the carbon tax will be extended until December 31.</li><li>Subsidy to companies suffering from increase in gas costs (30% of the increase in gas price up to EUR 400,000 per company).</li><li>Agricultural sectors: Temporary VAT exemption for fertilizers and feed, and support credit line from treasury.</li><li>Liquidity measure for manufacturers from treasury.</li><li>For vulnerable families: extending the support measures for the price of gas cylinders to minimum social benefits.  </li></ol><div>These were initially presented on 11th April 2022. The Council of Ministers later approved them through the XXIII State Budget 2022 on 29th April 2022. </div>",PRT
476,476,Denmark,Technology neutral tenders,Low-carbon power,2021,In force,473,technology neutral tenders,Technology neutral tenders,100,"<div>The European Commission (EC), under its EU State aid rules, approved a EUR 400 million aid for Denmark to develop its electricy production from renewable sources, and will be awarded through a competitive bidding process, organized until 2024. </div>

<div> </div>

<div>Denmark intends to meet its renewable energy targets with renewable energy generation sources such as onshore  &amp;  offshore wind turbines, hydroelectric and wave power plants, and solar PV. </div>",DNK
477,477,Poland,RES ��� a source of heat for heatingPart ofModernisation Fund - Poland,Heat pumps,2023,In force,469,res a source of heat for heatingpart ofmodernisation fund poland,RES – a source of heat for heating,85.71428571,<div>Poland's RES – a source of heat for heating program earmarks financial support to support investments in the production of heat from renewable sources.</div>,POL
478,478,Brazil,Gas subsidies to vulnerable households,Clean cooking,2022,In force,467,gas subsidies to vulnerable households,Gas subsidies to vulnerable households,100,"<div>In an effort to cushion domestic consumers from the effects of the global energy crisis, the Brazilian government increased its support to the energy consumption of poor households, by providing vouchers covering half of the cost of a 13kg LPG cylinder every two months.<br>The voucher value was doubled for the August and October payments.<br><br></div>",BRA
479,479,India,PM-KUSUM Scheme for rural energy security,Low-carbon power,2019,In force,465,pmkusum scheme for rural energy security,PM-KUSUM Scheme for rural energy security,100,"<div>In 2019, the PM-KUSUM scheme was approved by the Government of India. With the overall goal of providing energy security to farmers, the scheme aims to add solar capacity of 30,800 MW by 2022. The scheme has 3 components: </div><ul><li>Component A: support for adding solar capacity of 10,000 MW through small solar power plants installation.</li><li>Component B: installation of 2 million standalone solar-powered agricultural pumps.</li><li>Component C: support to farmers in making 1.5 million existing grid-connected agricultural pumps solar-powered.</li></ul><div>In November 2020 and February 2023, the Government of India amended and later extended the PM-KUSUM scheme until March 2026. </div>",IND
480,480,Belgium,VAT rate reduction on gas (21% to 6%) for householdsPart ofGovernment measures to face the energy crisis (2) - Council of Ministers on 14 March 2022,Energy affordability,2022,Ended,457,vat rate reduction on gas 21 to 6 for householdspart ofgovernment measures to face the energy crisis 2 council of ministers on 14 march 2022,Government measures to face the energy crisis (2) - Council of Ministers on 14 March 2022,93.08176101,"<div>On 14 March 2022, the Belgian government agreed on a new package of measures to face high energy prices:</div><ul><li>The temporary reduction of VAT on electricity from 21% to 6% is extended until 30 September 2022</li><li>A similar temporary reduction of VAT from 21% to 6% is applied on gas and heat from 1 April to 30 September 2022</li><li>A EUR 200 allocation is granted for households heating with heating oil or propane in bulk</li><li>A temporary reduction of EUR 0.175/liter of excise duty on diesel on petrol from 16 March to 30 September 2022, which will not apply as soon as the price at the pump drops to EUR 1.70/liter</li><li>A further extension of the enlarged social tariff until 30 September 2022</li></ul>",BEL
481,481,India,Support for the development of Battery Energy Storage Systems (BESS) -Scheme for Viability Gap Funding (VGF),Batteries,2024,In force,455,support for the development of battery energy storage systems bess scheme for viability gap funding vgf,Support for the development of Battery Energy Storage Systems (BESS) -Scheme for Viability Gap Funding (VGF),100,"<div>I September 2023, the Indian Ministry of Power earmarked funding for a project grant scheme supporting the development of Battery Energy Storage Systems (BESS). The scheme will provide viability gap funding for BESS projects up to a total of 40% of capital costs, by 2030-31. The Indian government aims to invest in the development of up to a capacity of 4000 MWh. </div>",IND
482,482,Japan,Green Innovation Fund - Next-Generation Solar Cell DevelopmentPart ofGreen Innovation Fund,Residential/commercial PV,2021,In force,454,green innovation fund nextgeneration solar cell developmentpart ofgreen innovation fund,Green Innovation Fund,100,"In March 2021, Japan's New Energy and Industrial technology Development Organisation set up the Green Innovation Fund, worth up to 2 trillion yen ($19.2 billion), to implement ambitious green projects over the next decade as part of additional stimulus measures in response to COVID-19. A further top up of 300 billion yen and 456.4 billion yen was made available in FY2022 and FY2023 respectively. The fund focuses on R&amp;D, demonstration and social implementation across energy related industries, transportation and manufacturing-related industries as well as home and office related industries. The related energy related sectors include: - Offshore wind power, solar power, geothermal power - Hydrogen and fuel ammonia - Next generation heat energy - Nuclear power - Automobiles and storage batteries - Semiconductors and information and communication - Shipping - Aircraft - Carbon recycling and materials - Housing and building and next generation power management The fund also considers other sectors such as logistics, people flows and civil engineering infrastructure, resource circulation and lifestyle-related. This includes regular monitoring and a system that allows companies to access more funds if they meet interim targets successfully. 

In 2023 and 2024, calls were announced in emerging technology areas, including floating wind, perovskite solar PV, ammonia-fuelled ships, hydrogen use in steelmaking, next-generation aircraft and next-generation motors.",JPN
483,483,Australia,Powering Australia - Driving the Nation FundPart ofPowering Australia Plan,Electric passenger carsShow budget lines,2018,In force,452,powering australia driving the nation fundpart ofpowering australia plan,Powering Australia Plan,100,"<div>To match its commitment to reach Net-Zero by 2050, the Australian government developed in 2022 the ""Powering Australia Plan"", aiming at: </div><ul><li>Decarbonising the industry, power and transport sectors</li><li>Fostering the creation of new jobs</li><li>Ensuring the energy security and affordability across the country. </li></ul><div>October's 2022-23 federal budget included a AUD 45.8 million fund over 6 years to enact this plan.  </div>",AUS
484,484,Australia,Federal government/ South Australian Energy and Emissions Reduction Deal,MultipleShow budget lines,2021,In force,451,federal government south australian energy and emissions reduction deal,Federal government/ South Australian Energy and Emissions Reduction Deal,100,"<div>The Australian government and South Australian government agreed on the State Energy and Emissions Reduction Deal. </div><div> </div><div>This deal grants AUD 1.08 billion to add additional secure, affordable and low carbon energy generation capacity to the grid, and reach the Paris Agreement targets. It also targets a new interconnection between South Australia and New South Wales, as well as gas supplies (to prevent shortfalls on the market).</div><div> </div><div>The plan includes: </div><div>- additional 50 petajoules per annum of gas by the end of 2023, and 80 petajoules per annum by 2030</div><div>- AUD 400 million in Commonwealth funding for investment in carbon capture and storage, electric vehicles, hydrogen and other projects to cut emissions in South Australia </div><div>- up to AUD 100 million joint support for Project EnergyConnect to boost the flow of power between South Australia and New South Wales</div><div>- up to AUD 110 million in Commonwealth concessional finance for solar thermal and other storage projects in South Australia.</div><div> </div><div>The Commonwealth will provide AUD 660 million to the total budget, and South Australia will provide AUD 422 million.</div><div> </div>",AUS
485,485,Czech Republic,Fix Up Grandma's House ProgramPart ofNew Green Savings Programme,Energy affordability,2023,In force,450,fix up grandmas house programpart ofnew green savings programme,New Green Savings Programme,92,"<div>The New Green Savings Programme of the Ministry of the Environment is administered by the State Environmental Fund of the Czech Republic, towards energy savings in family houses and apartment buildings. The main objective of the programme is to improve the state of the environment by reducing the production of pollutant and greenhouse gas emissions (in particular CO2 emissions). The programme supports: - Renovation of family houses and apartment buildings (thermal insulation of facade, roof and ceiling, replacement of windows and doors) - Construction of family houses and apartment buildings in so-called passive standard (passive houses) - Solar thermal and photovoltaic systems - Green roofs - Use of heat from waste water - Controlled ventilation systems with heat recovery (recuperation) - Replacement of heat sources for heat pumps, biomass boilers … The New Green Savings Programme is funded by revenues from the sale of EUA (European Union Allowance) and EUAA (European Union Aviation Allowance) units. Applications are received by the State Environmental Fund of the Czech Republic before, during or after the completion of the project continuously till December 31, 2021, or until the allocation is depleted. From 2015 to 2021, the budget allocated will reach 27 billion Czech Koruna (approx. 1.04 billion Euros).</div>",CZE
486,486,United States,DOE Clean Energy Demonstration Program on Current and Former Mine Land,Just transitions,2023,In force,450,doe clean energy demonstration program on current and former mine land,DOE Clean Energy Demonstration Program on Current and Former Mine Land,100,"<div>The U.S. Department of Energy (DOE) announced up to $450 million from the U.S. Infrastructure Investment and Jobs Act (IIJA) - also known as the Bipartisan Infrastructure Law (BIL) -  to advance clean energy demonstration projects on current and former mine lands. Deploying clean energy projects in mining communities across the nation is key to strengthening rural economies, creating new, good-paying jobs, and reducing harmful greenhouse gas emissions that jeopardise public health and pollute local ecosystems. <br>The funding also builds on the more than $14 billion whole-of-government effort by President Biden’s Interagency Working Group on Coal and Power Plant Communities to deliver new economic opportunities to communities hit hardest by our evolving energy landscape. </div>",USA
487,487,Poland,Warm Home Program,Efficient new builds,2012,In force,449,warm home program,Warm Home Program ,100,<div>Poland's Warm Home Program seeks to improve air quality and reducing dust and greenhouse gas emissions by replacing heat sources and improving energy efficiency in dwellings located in multi-family residential buildings</div>,POL
488,488,Spain,Aid Program for energy efficiency actions in SMEs and large company in the industrial sector,Industry EE,2021,In force,447,aid program for energy efficiency actions in smes and large company in the industrial sector,Aid Program for energy efficiency actions in SMEs and large company in the industrial sector,100,"<div>The Institute for Energy Diversification and Saving (IDEA) expanded the budget for the Aid Program for energy efficiency actions in SMEs and large companies in the industrial sector. </div>

<div> </div>

<div>The fund is used for the implementation of energy saving and efficiency measures in industry to reduce carbon emissions and  final energy consumption. Said measures include:</div>

<div>- Renovation of the steam and hot water production system.</div>

<div>- Regulation of motors by electronic speed variators.</div>

<div>- Replacement of the existing low energy efficiency lighting system with a high energy efficiency LED system.</div>

<div>- Boiler performance improvement by burner replacement and heat recovery.</div>

<div>- Recovery of residual heat.</div>

<div>- Replacement of plastic injection machines with more efficient ones.</div>

<div>- Energy optimization in the generation of industrial cooling.</div>

<div>- Improvement of energy efficiency in the textile finishing process.</div>

<div>- Replacement of air compressors with high-efficiency equipment.</div>

<div> </div>

<div>The total budget of the program after extension amounts to EUR 378 million. Due to the economic consequences of the pandemic, the term of the program was extended until June 30,2023. </div>",ESP
489,489,Singapore,Energy Efficiency Grant,Industry EE,2022,In force,446,energy efficiency grant,Energy Efficiency Grant,100,"<div>Launched in 2022, the grant was initially intended for companies in the Food Services, Food Manufacturing, and Retail sectors. It was enhanced in 2024 to include more sectors, including Manufacturing, Construction, Maritime, and Data Centres and their users. The enhanced grant also aim to fold in the Energy Efficiency Fund (E2F). <br><br>It provides two tiers of support – a base tier to provide support for pre-approved EE equipment up to S$30,000; and an advanced tier up to $350,000 to support companies for larger investments that drive greater energy efficiency.</div>",SGP
490,490,Finland,Sustainable growth agenda - Fossil fuel phase-outPart ofSustainable growth agenda / Pillar 1: The green transition supports economic restructuring and carbon-neutral welfare state,MultipleShow budget lines,2021,In force,446,sustainable growth agenda fossil fuel phaseoutpart ofsustainable growth agenda pillar 1 the green transition supports economic restructuring and carbonneutral welfare state,Sustainable growth agenda,100,"<div>As part of the EU Recovery and Resilience Facility, Finland submitted its plan to the European Commission. The plan is divided into four main pillars:</div>

<div> </div>

<div>1) The green transition supports economic restructuring and carbon neutrality: EUR 822 million</div>

<div>2) Digitalization and data economy strengthen productivity and bring services available to everyone: EUR 217 million</div>

<div>3) Raising employment rates and skills levels to accelerate sustainable growth: EUR 636 million</div>

<div>4) Strengthening access to social and health services and increasing cost-effectiveness: EUR 400 million</div>

<div> </div>

<div>The general objectives of the plan are the following:</div>

<div>- Reduction of greenhouse gas (GHG) emissions</div>

<div>- Productivity growth</div>

<div>- Raising the employment rate</div>

<div>- Speed up access to health services</div>

<div>- Progress on equality</div>",FIN
491,491,Italy,National Recovery and Resilience Plan / M2C1 Sustainable agriculture and circular economyPart ofNational Recovery and Resilience Plan,General (No selection appropriate),2021,In force,438,national recovery and resilience plan m2c1 sustainable agriculture and circular economypart ofnational recovery and resilience plan,National Recovery and Resilience Plan,100,"<div>The Italian National Recovery and Resilience Plan has a dedicated fund, comprised of national and REACT-EU funds. The funding allocated to the energy transition and sustainable mobility include: </div><div> </div><div>- M2C1: Sustainable agriculture and circular economy (EUR 6.97 billion)</div><div>- M2C2: Energy transition and sustainable mobility (EUR 25.36 billion)</div><div>- M2C3: Energy efficiency and buildings renovation (EUR 22.24 billion)</div><div>- M3C1: Rail network and secure roads (EUR 27.97 billion)</div>",ITA
492,492,Slovak Republic,Recovery and resilience plan - decarbonisation of industryPart ofRecovery and resilience plan,Industry EE,2021,In force,435,recovery and resilience plan decarbonisation of industrypart ofrecovery and resilience plan,Recovery and resilience plan,100,"<div>The European Commission has approved Slovakia's recovery and resilience plan, which will be financed with 6.3 billion euros in grants. The financing provided by the Recovery and Resilience Facility will support the implementation by 2026 of investment and reform measures put forward by Slovakia to emerge stronger from the COVID-19 pandemic. </div>",SVK
493,493,Czech Republic,Promotion of green district heating,Other efficiency,2023,In force,434,promotion of green district heating,Promotion of green district heating,100,"<div>Under European Union (EU) State aid rules, the European Commission approved a scheme that aims to promote green district heating and decarbonisation of heat generation units connected to district heating system. The scheme aims to support installation of new biomass and waste renewable heat generation units above 500kW. Under this, owners of heat generation installations holding a heat energy production licence and producing heat from (i) biomass, or (ii) waste that is considered a renewable energy source within the meaning of the Renewable Energy Directive are eligible.</div>",CZE
494,494,United Kingdom,Industrial Energy Transformation Fund (IETF) Phase 1,Industry EE,2021,In force,433,industrial energy transformation fund ietf phase 1,Industrial Energy Transformation Fund (IETF) Phase 1,100,"<div>The UK Government's Industrial Energy Transformation Fund (IETF) is designed to help businesses with high energy use, such as energy intensive industries, to cut their energy bills and carbon emissions through investing in energy efficiency and low-carbon technologies. The UK government announced GBP 315 million of funding in the 2018 Budget, available up until 2025. </div><div> </div><div>BEIS manages the IETF for England, Wales and Northern Ireland, with GBP 289 million to invest over consecutive application windows split into 2 phases.   </div><div> </div><div>In February 2021, the government announced GBP 40 million of investment for the next funding round to help polluting industries including steel, pharmaceuticals and food and drink to find new ways to reduce their carbon emissions and support the green industrial revolution by 2030. The first round in June 2020 saw £31 million of funding approved for 39 applications. </div>",GBR
495,495,Portugal,Carbon tax rise suspensionPart ofOctober 2021 Extraordinary package of measures on fuels,Energy affordability,2022,Ended,429,carbon tax rise suspensionpart ofoctober 2021 extraordinary package of measures on fuels,October 2021 Extraordinary package of measures on fuels,92.15686275,"<div>In response to the energy price crisis, the Portuguese government enacted in October 2021 an ""Extraordinary package of measures on fuels"" encompassing the following temporary measures :<br><br></div><ul><li>a temporary reduction of the Tax on Petroleum Products (ISP) applicable to gasoline and diesel. </li><li>a AUTOvoucher discount: Fuel subsidy of EUR 0.10/litre (maximum of 50 litres/month) at gas stations. </li><li>the suspension of the planned carbon tax increase on fuels. </li><li>a subsidy to road passenger transport operators (buses and taxis), equivalent to EUR 0.10/litre (maximum of 50 litres/month).  <br><br></li></ul><div>In addition, targeted, permanent measures were implemented for the road freight sector from November 2021:</div><ul><li>an extension of the 50% reduction in the Single Circulation Tax (IUC) for road transport of goods.</li><li>an extension of the 20% increase in Corporate Income Tax IRC on the purchase of fuels.<br><br></li></ul>",PRT
496,496,Portugal,Extension of the carbon tax suspensionPart ofMarch 2022 New measures to offset rising energy prices,Energy affordability,2022,In force,429,extension of the carbon tax suspensionpart ofmarch 2022 new measures to offset rising energy prices,March 2022 New measures to offset rising energy prices,94.11764706,"<div>In March 2022, the Portuguese government enacted the following measures to tackle soaring energy prices:</div><ul><li>Maintain, until June 30, 2022, the Tax on Petroleum Products (ISP) refund mechanism of the value of the increase in VAT revenue resulting from the increase in fuel price.</li><li>Maintain, until the end of June 2022, the suspension of the increase in the carbon tax.</li><li>Increase, during the month of March, the value of the AUTOvoucher from EUR 5 to EUR 20 per beneficiary.</li><li>Increase subsidies to public transport sector.</li><li>Allocated EUR 150 million from the Environmental Fund into the national electricity system to lower the network access tariff, which is sometimes responsible for half of what is paid by families and companies.</li></ul>",PRT
497,497,Slovak Republic,Heat price cap for households,Energy affordability,2023,In force,427,heat price cap for households,Heat price cap for households,100,<div>The Government issued a decree capping the increase of heat prices for households to EUR 20/MWh without VAT and to a maximum amount of EUR 199/MWh. The Government allocated EUR 394.8 million to compensate heat distributors for the related loss of revenues.</div>,SVK
498,498,Poland,���Heat with compensation��� programme,Energy affordability,2022,In force,426,heat with compensation programme,‘Heat with compensation’ programme ,100,"<div>In response to the global energy crisis, the Polish government launched a ‘Heat with compensation’ programme, which will run from October 2022 to April 2023.  <br>Under the scheme, households and public utility institutions energy prices will be capped at: </div><ul><li>PLN 150.95/GJ (32€) for heat generated from natural gas </li><li>PLN 103.82/GJ for heat generated from other sources. </li></ul><div>The programme also provides one-off subsidies to households depending on wood pellets, lump wood, liquefied LPG or fuel oil-based heating, along the following lines: </div><ul><li>PLN 3000 for solid fuel boiler powered by wood pellets or another biomass </li><li>PLN 1000 for boilers powered by lump wood </li><li>PLN 500 for gas boiler powered by liquefied LPG  </li><li>PLN 2000 for oil boiler. </li></ul><div><br></div>",POL
499,499,Australia,Low emissions international technology partnerships and initiativesPart ofAustralian Technology Investment Roadmap,Low-carbon power,2021,In force,425,low emissions international technology partnerships and initiativespart ofaustralian technology investment roadmap,Low emissions international technology partnerships and initiatives,90.16393443,"<p>Australia comits to spend $565.8 million in the 2021-22 Budget to support research and development and demonstration projects for low emissions international technology partnerships and initiatives. Co-funding research and development projects will enable Australia to make low emissions technologies more affordable and help the country develop its industry, while boosting job creation (up to 2 500 new jobs expected). The partnerships are expected to leverage $3 to $5 of co-investment for every dollar invested.</p>",AUS
500,500,Japan,National Budget 2021 - Heat pumps,Heat pumps,2021,In force,424,national budget 2021 heat pumps,National Budget 2021 - Heat pumps,100,"<div>As part of the third supplementary budget to the 2021 national budget, the government allocated 46.5 billion yen to support the introduction of high efficiency heat pumps. </div>",JPN
501,501,United States,USD 420 Million to Advance Clean Energy Breakthroughs at Energy Research Centers,Other Innovation,2022,In force,420,usd 420 million to advance clean energy breakthroughs at energy research centers,USD 420 Million to Advance Clean Energy Breakthroughs at Energy Research Centers,100,"<div>The U.S. Department of Energy (DOE) announced a USD 420 million funding opportunity for DOE’s Energy Frontier Research Centers (EFRC). This funding will advance climate solutions through early-stage research on clean energy technology, advanced and low-carbon manufacturing, and quantum information science to contribute to the national  goal of becoming a zero-emission economy by 2050. The funding opportunity is sponsored by the Office of Basic Energy Sciences within the Department’s Office of Science.</div>",USA
502,502,Argentina,2023-2025 Energy infrastructure investment planPart ofNational Public Investment Plan 2023-2025,MultipleShow budget lines,2023,In force,416,20232025 energy infrastructure investment planpart ofnational public investment plan 20232025,2023-2025 Energy infrastructure investment plan ,100,"<div>As part of its National Public Investment Plan (PNIP), the Argentinian government is allocating resources to renewable energy infrastructure construction, as well as energy efficient equipment.</div>",ARG
503,503,France,Recovery and resilience plan / Green mobility and infrastructure/ Transport infrastructurePart ofRecovery and Resilience plan,MultipleShow budget lines,2021,In force,414,recovery and resilience plan green mobility and infrastructure transport infrastructurepart ofrecovery and resilience plan,Recovery and resilience plan / Green mobility and infrastructure/ Transport infrastructure,100,"<div>As part of the French Resilience and Recovery plan, the French government allocated specific measures to foster green mobility. </div><div> </div><div>In order to develop a transport infrastructure in line with a sustainable transport sector, the government is investing EUR 550 million. </div><div> </div><div>The fundings will be allocated to the following actions: <br><br></div><div>- Development of EV charging points: EUR 100 million</div><div>- Construction of dedicated public transport and carpooling lanes: EUR 50 million</div><div>- Renovation of waterways and dams: EUR 175 million</div><div>- Modernisation of the CROSS network &amp; overhaul of the digital maritime affairs system : EUR 25 million</div>",FRA
504,504,Sweden,Sweden's Recovery Plan / energy efficiency of apartment buildingsPart ofSweden's Recovery Plan,Energy efficient retrofitsShow budget lines,2021,In force,412,swedens recovery plan energy efficiency of apartment buildingspart ofswedens recovery plan,Sweden's Recovery Plan,100,"<div>Sweden's recovery and resilience plan energy-related policies concern:     </div><div> </div><div>- Transition of industrial sector (SEK 2.9 billion)  </div><div>- Climate change (SEK 5.35 billion)  </div><div>- Energy efficiency of apartment buildings (SEK 4.05 billion)</div><div>- Railway investment (SEK 1.50 billion)     </div><div> </div><div>The total financial contribution available for Sweden within RRF amounts to approximately 34 billion SEK. Sweden intends to remove all GHG emissions by 2045, with the help of extensive claimte-smart technology.</div><div>      </div><div>The Green Transition is counted as the first pillar in the national strategy, with investments in sustainable transport, energy efficiency of buildings, investments in new technologies to reduce GHG emissions, with a focus on emission reductions, negative emissions and adaptation measures.      </div><div> </div><div>The Fund also includes environmental taxes to increase tax revenues. Environmental taxes are supposed to be exchanged for reduced taxes on jobs and entrepreneurship.     <br><br> The EU RRF plan includes measures to facilitate the Green Transition, but Sweden also includes in its 2021 budget alternative measures to implement the Green Transition, with policies designed to foster this development until 2030 and 2045. All measures in the recovery plan have been evaluated to ensure that none of them cause significant damage to the environment.      </div>",SWE
505,505,United Kingdom,Plug-in-GrantPart ofPlug-in Car Grant,Energy affordability,2022,Ended,411,plugingrantpart ofplugin car grant,,72,,
506,506,Norway,Revised national budget 2021-2022: Energy investments,MultipleShow budget lines,2022,In force,410,revised national budget 20212022 energy investments,Revised national budget 2021-2022: Energy investments,100,"<div>Allocations from Ministry of Petroleum and Energy regarding energy investments in the revised state budget 2022. These include an increase to the allocation for CO2 management by NOK 390 million, to NOK 3,840 million in 2022. Furthermore, the government proposes NOK 65 million for studies and ground investigations of the seabed on the Southern North Sea II and Utsira North. An additional grant of NOK 10 million is also proposed to map how existing and new industries affect other sectors and ecosystems.</div>",NOR
507,507,Israel,Infrastructure projects in the energy and water economies: 5. Action plan for an energy-efficient urban spacePart ofInfrastructure projects in the energy and water economies - COVID19 response,MultipleShow budget lines,2020,In force,409,infrastructure projects in the energy and water economies 5 action plan for an energyefficient urban spacepart ofinfrastructure projects in the energy and water economies covid19 response,Infrastructure projects in the energy and water economies - COVID19 response,100,"<div>In response to the Covid 19 economic crisis, the Ministry of Energy of Israel has selected 10 large-scale projects, involving clean energy technologies, fossil fuels infrastructure and energy access, to support the economic recovery.     </div>

<div> </div>

<div>This recovery plan in the energy sector is estimated to attract ILS 25 billion of investment, 10.8% from public investments and 89.2% from private sources.     </div>

<div> </div>

<div>Most of these funds will go towards electricity sector investment (ILS 18 billion), the rest being allocated to energy efficiency measures (ILS 2.5 billion), fuels (ILS 1.8 billion), minerals (ILS 1.6 billion) and natural gas (ILS 1.5 billion).</div>",ISR
